Nombre_Arriendo,Precio ($),Gastos_Comunes ($),Comuna,Direccion,Metros (m²),Habitaciones,Baños
"Santiago, Domeyko 2505",380000,90000,Santiago,Domeyko 2505,42,1,1
"Santiago, Dieciocho 747",330000,58000,Santiago,Dieciocho 747,41,1,1
"Santiago, Serrano 266",360000,60000,Santiago,Serrano 266,40,2,1
"Recoleta, Domínica 411",390000,75000,Recoleta,Domínica 411,44,1,1
"Ñuñoa, Exequiel Fernández 1928",580000,120000,Ñuñoa,Exequiel Fernández 1928,55,2,2
"Santiago, Santa Victoria 366",340000,77999,Santiago,Santa Victoria 366,38,1,1
"Las Condes, Presidente Riesco 6445",950000,170000,Las Condes,Presidente Riesco 6445,90,3,2
"Ñuñoa, Avenida Vicuña Mackenna 1290",400000,85000,Ñuñoa,Avenida Vicuña Mackenna 1290,39,1,1
"La Cisterna, Colón 6479",300000,59999,La Cisterna,Colón 6479,48,3,1
"Las Condes, La Castellana Sur 170",1000,164225,Las Condes,La Castellana Sur 170,70,2,2
"San Miguel, Avenida Centenario",440000,65000,San Miguel,Avenida Centenario,47,2,1
"Estación Central, Conde del Maule 4364",200000,30000,Estación Central,Conde del Maule 4364,22,1,1
"Santiago, San Isidro 10",420000,62000,Santiago,San Isidro 10,43,1,1
"La Cisterna, Arturo Prat",300000,70000,La Cisterna,Arturo Prat,30,1,1
"La Cisterna, Vicuña Mackenna 980",380000,56000,La Cisterna,Vicuña Mackenna 980,46,2,1
"Lampa, La Montaña 4603",610000,70000,Lampa,La Montaña 4603,72,3,2
"Santiago, San Isidro 292 / Marin",430000,110000,Santiago,San Isidro 292 / Marin,55,2,2
"Macul, Av. Macul 3500/ Metro",690000,140000,Macul,Av. Macul 3500/ Metro,90,3,2
"Independencia, Doctor Carlos Lorca Tobar",235000,40000,Independencia,Doctor Carlos Lorca Tobar,32,1,1
"Providencia, Las dalias",700000,90000,Providencia,Las dalias,55,1,2
"Ñuñoa, Av. Vicuña Mackenna 660",480000,70000,Ñuñoa,Av. Vicuña Mackenna 660,28,1,1
"La Florida, Calle Pudeto 6579",530000,120000,La Florida,Calle Pudeto 6579,72,3,2
"Santiago, Zenteno",330000,79000,Santiago,Zenteno,58,2,1
"Ñuñoa, Av. Manuel Antonio Matta 040",500000,100000,Ñuñoa,Av. Manuel Antonio Matta 040,48,2,1
"Recoleta, Santos Dumont 560",500000,95000,Recoleta,Santos Dumont 560,62,2,2
"La Florida, Diagonal Los Castaños no5837",440000,10000,La Florida,Diagonal Los Castaños no5837,75,2,1
"Santiago, García reyes con erasmo escala",320000,70000,Santiago,García reyes con erasmo escala,33,1,1
"La Florida, Avenida Vicuña Mackenna Poniente",340000,60000,La Florida,Avenida Vicuña Mackenna Poniente,35,1,1
"La Florida, V. Mackenna con vicente valdés",550000,90000,La Florida,V. Mackenna con vicente valdés,66,2,2
"Santiago, San Francisco 632",550000,150000,Santiago,San Francisco 632,70,3,2
"Estación Central, Cuadro Verde 160",450000,100000,Estación Central,Cuadro Verde 160,66,3,2
"Santiago, Metro Parque Almagro Línea 3",550000,110000,Santiago,Metro Parque Almagro Línea 3,45,2,1
"Estación Central, Cnel. Souper 4158",330000,65000,Estación Central,Cnel. Souper 4158,46,2,1
"Ñuñoa, Castillo Urizar 1850",650000,130000,Ñuñoa,Castillo Urizar 1850,68,2,2
"Independencia, Avenida Inglaterra 1600",390000,84000,Independencia,Avenida Inglaterra 1600,54,2,2
"Quinta Normal, Avenida Matucana 700",400000,100000,Quinta Normal,Avenida Matucana 700,52,3,1
"Quinta Normal, Avenida Mapocho 4242",340000,65000,Quinta Normal,Avenida Mapocho 4242,48,2,1
"Macul, Av. Sergio Vieira de Mello 6220",490000,90000,Macul,Av. Sergio Vieira de Mello 6220,55,2,2
"Santiago, Dpto. 1 dormitorio  - Metro Parque Almagro",315000,120000,Santiago,Dpto. 1 dormitorio  - Metro Parque Almagro,37,1,1
"Cerrillos, Av. Departamental 3175",500000,80000,Cerrillos,Av. Departamental 3175,56,2,2
