Nombre_Arriendo,Precio ($),Gastos_Comunes ($),Comuna,Direccion,Metros (m²),Habitaciones,Baños
"Maipú, Aprovecha, 3 meses rebajado (125127)",590000,80000,Maipú,"Aprovecha, 3 meses rebajado (125127)",67,3,2
"La Cisterna, Chile españa",340000,85000,La Cisterna,Chile españa,52,2,1
"Las Condes, Av. Américo Vespucio Norte / Escuela Militar",990000,105000,Las Condes,Av. Américo Vespucio Norte / Escuela Militar,80,2,2
"Peñalolén, La tranquilidad se vive acá (125081)",550000,77000,Peñalolén,La tranquilidad se vive acá (125081),52,2,2
"Macul, Amplio departamento (125073)",510000,110000,Macul,Amplio departamento (125073),61,2,2
"Providencia, Cercano de líneas de Metro (125072)",590000,100000,Providencia,Cercano de líneas de Metro (125072),28,1,1
"San Miguel, Álvarez de Toledo",300000,50000,San Miguel,Álvarez de Toledo,44,1,1
"Santiago, Metro Ñuble",270000,65000,Santiago,Metro Ñuble,31,1,1
"Santiago, Diagonal Vicuña Mackenna",481000,100000,Santiago,Diagonal Vicuña Mackenna,46,2,2
"Cerrillos, Av aeropuerto con nueva uno",480000,81000,Cerrillos,Av aeropuerto con nueva uno,48,2,1
"Santiago, Dpto 1 Dormitorio con estacioamiento (125094)",340000,100000,Santiago,Dpto 1 Dormitorio con estacioamiento (125094),40,1,1
"Santiago, Estudio Metro Los Heroes (124911)",230000,60000,Santiago,Estudio Metro Los Heroes (124911),29,1,1
"Ñuñoa, Eduardo Castillo Velazco / Metro Chile España",850000,170000,Ñuñoa,Eduardo Castillo Velazco / Metro Chile España,79,2,2
"Ñuñoa, AV Jose Pedro Alessandri / Mall Cenco Nuñoa",800000,170000,Ñuñoa,AV Jose Pedro Alessandri / Mall Cenco Nuñoa,74,2,2
"Ñuñoa, Av. Jose Pedro Alessandri/ Avda Grecia",800000,170000,Ñuñoa,Av. Jose Pedro Alessandri/ Avda Grecia,74,2,2
"Ñuñoa, Eduardo Castillo Velazco / Los Tres Antonios",850000,170000,Ñuñoa,Eduardo Castillo Velazco / Los Tres Antonios,79,2,2
"Independencia, Depto Nuevo Andrés Bello (125035)",365000,70000,Independencia,Depto Nuevo Andrés Bello (125035),58,2,1
"Independencia, Disponible, buena vista, iluminado, metro (124809)",250000,76000,Independencia,"Disponible, buena vista, iluminado, metro (124809)",41,2,1
"Santiago, General Mackenna 1490",380000,60000,Santiago,General Mackenna 1490,50,2,1
"Santiago, Cercano a metro la moneda",300000,50000,Santiago,Cercano a metro la moneda,30,1,1
"Huechuraba, Acceso directo autopista, mall plaza norte, pedro fontova",700000,100000,Huechuraba,"Acceso directo autopista, mall plaza norte, pedro fontova",71,3,2
"Ñuñoa, Metro Ñuble",650000,80000,Ñuñoa,Metro Ñuble,58,2,2
"Ñuñoa, Metro Ñuble",650000,80000,Ñuñoa,Metro Ñuble,58,2,2
"Las Condes, Carlos xii",700000,120000,Las Condes,Carlos xii,45,1,1
"Providencia, Suecia & carlos antunes // con patio ug.",550000,65000,Providencia,Suecia & carlos antunes // con patio ug.,55,1,1
"Providencia, A 1 cuadra de plaza ambrosio del rio",1000,125000,Providencia,A 1 cuadra de plaza ambrosio del rio,90,2,2
"Macul, Amplio departamento 2D+2B+E+B en Macul (125038)",550000,120000,Macul,Amplio departamento 2D+2B+E+B en Macul (125038),72,2,2
"La Florida, Arriendo depto. Av. Vicuña Mackenna (125113)",450000,60000,La Florida,Arriendo depto. Av. Vicuña Mackenna (125113),44,2,2
"San Miguel, departamento en San Miguel  (115494)",490000,75000,San Miguel,departamento en San Miguel  (115494),49,2,1
"Ñuñoa, Av. Vicuña mackenna /cercano a metro rodrigo de araya",350000,60000,Ñuñoa,Av. Vicuña mackenna /cercano a metro rodrigo de araya,37,1,1
"Providencia, Arriendo depto 2 dorm. los leones, Provi (125124)",990000,300000,Providencia,"Arriendo depto 2 dorm. los leones, Provi (125124)",73,2,2
"Santiago, Avenida Catedral 1350",600000,140000,Santiago,Avenida Catedral 1350,80,2,2
"Independencia, Independencia 1815",260000,50000,Independencia,Independencia 1815,30,1,1
"San Miguel, Septima Avenida 1355",315000,50000,San Miguel,Septima Avenida 1355,35,1,1
"San Miguel, Septima Avenida 1355",315000,50000,San Miguel,Septima Avenida 1355,35,1,1
"San Miguel, San Ignacio 2903",360000,75000,San Miguel,San Ignacio 2903,31,1,1
"Santiago, Arriendo depto amoblado 2b+1b Parque Almagro (124525)",490000,100000,Santiago,Arriendo depto amoblado 2b+1b Parque Almagro (124525),45,2,1
"Macul, Av. Quilin 3375",450000,120000,Macul,Av. Quilin 3375,46,2,1
"Ñuñoa, Metro Plaza Egaña",710001,115000,Ñuñoa,Metro Plaza Egaña,52,2,2
"Macul, Avenida Macul 3700",570000,70000,Macul,Avenida Macul 3700,72,2,2
"Providencia, Carlos Antunez / Los Leones",460000,100000,Providencia,Carlos Antunez / Los Leones,38,1,1
"La Cisterna, Klg/ dpto 1d y 1b metro lo ovalle",290000,50000,La Cisterna,Klg/ dpto 1d y 1b metro lo ovalle,35,1,1
"San Miguel, Carlos Silva Vildosola 870",400000,100000,San Miguel,Carlos Silva Vildosola 870,59,2,2
"Independencia, Av general prieto / escanilla / adolfo ibañez",250000,55000,Independencia,Av general prieto / escanilla / adolfo ibañez,30,1,1
"Ñuñoa, Moderno | +45 M2 | Se aceptan mascotas (124987)",550000,75000,Ñuñoa,Moderno | +45 M2 | Se aceptan mascotas (124987),44,1,1
"Ñuñoa, San eugenio - metro irarrazaval",540000,110000,Ñuñoa,San eugenio - metro irarrazaval,41,1,1
"Ñuñoa, Av. Irarrazaval - plaza ñuñoa",528000,115000,Ñuñoa,Av. Irarrazaval - plaza ñuñoa,37,1,1
"Ñuñoa, Av. Irarrazaval - plaza ñuñoa",650000,144000,Ñuñoa,Av. Irarrazaval - plaza ñuñoa,45,2,1
"Ñuñoa, Plaza egaña",750000,185000,Ñuñoa,Plaza egaña,69,2,2
"Macul, Exequiel Fernández",650000,130000,Macul,Exequiel Fernández,60,2,2
"Ñuñoa, Profesorrodolfo lenz / simon boliva",850000,220000,Ñuñoa,Profesorrodolfo lenz / simon boliva,71,2,2
"Santiago, Depto 1D1B en Promoción Santiago M L5 (124930)",280000,60000,Santiago,Depto 1D1B en Promoción Santiago M L5 (124930),30,1,1
"Macul, Exequiel fernández 2324",500000,90000,Macul,Exequiel fernández 2324,50,2,2
"Santiago, Depto 1D 1B en Yungay con Estac. y Bodega (125019)",350000,100000,Santiago,Depto 1D 1B en Yungay con Estac. y Bodega (125019),40,1,1
"Ñuñoa, Exequiel Fernández / Estadio Nacional / Ñuñoa",650000,130000,Ñuñoa,Exequiel Fernández / Estadio Nacional / Ñuñoa,57,2,2
"Providencia, En Arriendo Depto 1D1B - Metro Salvador (124958)",500000,150000,Providencia,En Arriendo Depto 1D1B - Metro Salvador (124958),45,1,1
"San Miguel, Ventura Blanco Viel",600000,110000,San Miguel,Ventura Blanco Viel,70,2,2
"Cerrillos, Avenida lo Errázuriz 2441",520000,80000,Cerrillos,Avenida lo Errázuriz 2441,65,2,2
"Ñuñoa, Francisco Meneses",360000,60000,Ñuñoa,Francisco Meneses,40,1,1
"San Miguel, San petersburgo 6351, san miguel",360000,77000,San Miguel,"San petersburgo 6351, san miguel",51,3,1
"Las Condes, Depto 3D 1B 1E en calle Napoleon (124965)",1000,280000,Las Condes,Depto 3D 1B 1E en calle Napoleon (124965),73,3,2
"San Joaquín, 1 dormitorio, 1 B, Terraza, Metro R Araya (124903)",320000,45000,San Joaquín,"1 dormitorio, 1 B, Terraza, Metro R Araya (124903)",34,1,1
"Santiago, Se Arrienda 2D+1B+cocina+logia (124912)",390000,95000,Santiago,Se Arrienda 2D+1B+cocina+logia (124912),60,2,1
"Las Condes, Metro manquehue",700000,100000,Las Condes,Metro manquehue,45,1,1
"Estación Central, Blanco garces 154",230000,30000,Estación Central,Blanco garces 154,25,1,1
"Santiago, Tocornal / Marín",450000,100000,Santiago,Tocornal / Marín,42,2,1
"Santiago, Santa Victoria con Santa Isabel comuna de Santiago",305000,80000,Santiago,Santa Victoria con Santa Isabel comuna de Santiago,38,1,1
"Independencia, Inglaterra esquina belisario prats",290000,50000,Independencia,Inglaterra esquina belisario prats,45,2,1
"La Cisterna, Av. Fernández Albano 565",450000,80000,La Cisterna,Av. Fernández Albano 565,60,2,2
"Cerrillos, Av aeropuerto con fernandez albano",650000,90000,Cerrillos,Av aeropuerto con fernandez albano,93,3,2
"Estación Central, Avenida ecuador",420000,95000,Estación Central,Avenida ecuador,48,2,2
"La Florida, arriendo depto 1D/1B Cercano a lineas de metr (118023)",350000,60000,La Florida,arriendo depto 1D/1B Cercano a lineas de metr (118023),35,1,1
"Maipú, Av Central Gonzalo Perez Llona 140",640000,140000,Maipú,Av Central Gonzalo Perez Llona 140,76,2,2
"San Joaquín, Metro bio bio",300000,75000,San Joaquín,Metro bio bio,45,2,1
"La Florida, Vicuña mackena",500000,100000,La Florida,Vicuña mackena,52,2,2
"San Miguel, Arriendo Departamento 2D-1B, San Miguel (103863)",340000,55000,San Miguel,"Arriendo Departamento 2D-1B, San Miguel (103863)",50,2,1
"Ñuñoa, Depto. Dúplex arriendo Ñuñoa, 1D-2B-1B-S/E (117008)",690000,100000,Ñuñoa,"Depto. Dúplex arriendo Ñuñoa, 1D-2B-1B-S/E (117008)",60,1,2
"Ñuñoa, Brown norte / manuel de salas",700000,200000,Ñuñoa,Brown norte / manuel de salas,66,2,2
"Santiago, Lord Cochrane 296",400000,150000,Santiago,Lord Cochrane 296,60,2,2
"Santiago, Gorbea & Abate Molina",250000,40000,Santiago,Gorbea & Abate Molina,35,1,1
"Ñuñoa, Avenida Sucre 2455",490000,70000,Ñuñoa,Avenida Sucre 2455,36,1,1
"San Miguel, C. San Ignacio de Loyola 2903",485000,100000,San Miguel,C. San Ignacio de Loyola 2903,46,2,1
"La Cisterna, Santa Corina 100",430000,90000,La Cisterna,Santa Corina 100,50,2,1
"Ñuñoa, Lo encalada 151",590000,110000,Ñuñoa,Lo encalada 151,67,2,1
"La Florida, arriendo depto 1D/1B Cercano a lineas de metr (42794)",390000,60000,La Florida,arriendo depto 1D/1B Cercano a lineas de metr (42794),35,1,1
"Providencia, Darío Urzúa",1150,260000,Providencia,Darío Urzúa,100,3,2
"La Florida, Metro mirador",500000,100000,La Florida,Metro mirador,66,2,2
"Ñuñoa, Arriendo depto. Amoblado 2d 2b 1e (43317)",650000,120000,Ñuñoa,Arriendo depto. Amoblado 2d 2b 1e (43317),73,2,2
"La Florida, Se arrienda depto 1D/1B Metro Vicente Valdes (98580)",380000,70000,La Florida,Se arrienda depto 1D/1B Metro Vicente Valdes (98580),35,1,1
"Quinta Normal, Metro Blanqueado/San Pablo",260000,60000,Quinta Normal,Metro Blanqueado/San Pablo,33,1,1
"Santiago, Moderno 2 dormitorios terraza tercer piso (121112)",390000,95000,Santiago,Moderno 2 dormitorios terraza tercer piso (121112),60,2,1
"Las Condes, Los militares/Alonso de Cordova/Manquehue",2000,250000,Las Condes,Los militares/Alonso de Cordova/Manquehue,142,3,3
"La Cisterna, Lo Ovalle 0330, La Cisterna, Región Metropolitana",310000,60000,La Cisterna,"Lo Ovalle 0330, La Cisterna, Región Metropolitana",37,1,1
"Estación Central, Las Acacias 115",540000,200000,Estación Central,Las Acacias 115,110,3,2
"La Florida, Avenida Vicuña Mackenna 7735",315000,100000,La Florida,Avenida Vicuña Mackenna 7735,34,1,1
"Independencia, Sur",270000,35000,Independencia,Sur,28,1,1
"Independencia, Sur",270000,35000,Independencia,Sur,28,1,1
"Maipú, Departamento en arriendo maipú barrio las rosas",550000,35000,Maipú,Departamento en arriendo maipú barrio las rosas,64,3,1
"Quilicura, Arriendo departamento valle lo campino",375000,35000,Quilicura,Arriendo departamento valle lo campino,55,2,1
"La Florida, Av. Departamental 1435",545000,100000,La Florida,Av. Departamental 1435,76,2,2
"La Florida, Depto metro bellavista 2d/1b +estac.",500000,40000,La Florida,Depto metro bellavista 2d/1b +estac.,63,2,1
"Providencia, 2 estacionamientos, gran terraza, despejada (124802)",1000,220000,Providencia,"2 estacionamientos, gran terraza, despejada (124802)",80,3,2
"Santiago, Avenida Catedral 1350",600000,140000,Santiago,Avenida Catedral 1350,80,2,2
"Independencia, Independencia 1815",260000,50000,Independencia,Independencia 1815,30,1,1
"Santiago, Dpto 1 dormitorio, Metro Sta Lucia (124810)",340000,70000,Santiago,"Dpto 1 dormitorio, Metro Sta Lucia (124810)",37,1,1
"Ñuñoa, Depto Nuevo 1D1B - M. Estadio Nacional (124778)",380000,70000,Ñuñoa,Depto Nuevo 1D1B - M. Estadio Nacional (124778),37,1,1
"Las Condes, Hermanos Cabot, a una cuadra de Kennedy",1600,150000,Las Condes,"Hermanos Cabot, a una cuadra de Kennedy",128,3,2
"Macul, Tenga todo a la mano para vivir tranquilo  (124792)",580000,130000,Macul,Tenga todo a la mano para vivir tranquilo  (124792),64,2,2
"Santiago, San isidro 154",450000,90000,Santiago,San isidro 154,57,2,1
"Santiago, Excelente ubicación (124834)",360000,70000,Santiago,Excelente ubicación (124834),44,2,1
"Estación Central, Departamento nuevo sin comisión (79203)",630000,172000,Estación Central,Departamento nuevo sin comisión (79203),94,4,4
"Ñuñoa, Avenida Irarrázaval 2042",740000,120000,Ñuñoa,Avenida Irarrázaval 2042,52,2,2
"Providencia, Peumo 1255",890000,100000,Providencia,Peumo 1255,80,2,2
"Santiago, Dpto. 1hab-1baño, a 10 minutos del metro (31461)",280000,60000,Santiago,"Dpto. 1hab-1baño, a 10 minutos del metro (31461)",29,1,1
"La Cisterna, Lo Ovalle 2dr 1bn y Estac (3203)",370000,120000,La Cisterna,Lo Ovalle 2dr 1bn y Estac (3203),48,2,1
"Santiago, García Reyes 66",320000,70000,Santiago,García Reyes 66,31,1,1
"Santiago, Loft categoría Hotel sin comisión  (118953)",350000,125000,Santiago,Loft categoría Hotel sin comisión  (118953),38,1,1
"Ñuñoa, Zañartu 2418",500000,90000,Ñuñoa,Zañartu 2418,49,2,1
"Providencia, Avenida Pedro de Valdivia 1426",790000,30000,Providencia,Avenida Pedro de Valdivia 1426,120,2,3
"Quilicura, Valle lo campino, supermercado santa isabel",430000,80000,Quilicura,"Valle lo campino, supermercado santa isabel",60,2,2
"La Cisterna, Metro lo ovalle",350000,70000,La Cisterna,Metro lo ovalle,45,2,1
"Santiago, Avenida Presidente Balmaceda 2914",340000,90000,Santiago,Avenida Presidente Balmaceda 2914,45,2,2
"Peñalolén, Mar Tirreno 3610",750000,280000,Peñalolén,Mar Tirreno 3610,80,3,2
"La Cisterna, Arturo Prat con Julio Covarrubias",330000,90000,La Cisterna,Arturo Prat con Julio Covarrubias,41,2,1
"Recoleta, Amplio Departamento en arriendo 3d 2b Est.Bd (124714)",450000,110000,Recoleta,Amplio Departamento en arriendo 3d 2b Est.Bd (124714),60,3,2
"Las Condes, Las Condes, Escuela Militar",650000,150000,Las Condes,"Las Condes, Escuela Militar",38,1,1
"Estación Central, Alameda B. OHiggins (124665)",420000,85000,Estación Central,Alameda B. OHiggins (124665),45,2,2
"Santiago, Oportunidad metro, bien conectado y acogedor (124736)",350000,84000,Santiago,"Oportunidad metro, bien conectado y acogedor (124736)",40,2,1
"Ñuñoa, Julio Prado, Ñuñoa",750000,200000,Ñuñoa,"Julio Prado, Ñuñoa",71,2,2
"La Florida, Nueva Uno, La Florida",350000,60000,La Florida,"Nueva Uno, La Florida",35,1,1
"Ñuñoa, Julio Prado, Ñuñoa",750000,200000,Ñuñoa,"Julio Prado, Ñuñoa",71,2,2
"La Florida, Nueva Uno, La Florida",350000,60000,La Florida,"Nueva Uno, La Florida",35,1,1
"Santiago, Ubicacion y seguridad en Santiago centro (124734)",480000,150000,Santiago,Ubicacion y seguridad en Santiago centro (124734),61,2,2
"Independencia, Hipódromo de Chile 1673",250000,50000,Independencia,Hipódromo de Chile 1673,20,1,1
"Santiago, Lord Cochrane 1431",320000,30000,Santiago,Lord Cochrane 1431,27,1,1
"Ñuñoa, Ideal para pareja, estudiante o profesional (124672)",550000,50000,Ñuñoa,"Ideal para pareja, estudiante o profesional (124672)",30,1,1
"Santiago, Metro Santa Lucia - 2 Dormitorios en Arriendo",350000,80000,Santiago,Metro Santa Lucia - 2 Dormitorios en Arriendo,60,2,2
"Macul, Exequiel Fernandez / Macul / R. de Araya",490000,90000,Macul,Exequiel Fernandez / Macul / R. de Araya,49,1,1
"Providencia, Nueva Providencia / Guardia Vieja",900000,100000,Providencia,Nueva Providencia / Guardia Vieja,36,1,1
"Providencia, En providencia departamento amoblado 1d+1b",1200,100000,Providencia,En providencia departamento amoblado 1d+1b,34,1,1
"Ñuñoa, Disponible enero 2026 departamento amoblado todo incluido",2000,1000,Ñuñoa,Disponible enero 2026 departamento amoblado todo incluido,96,3,2
"Vitacura, Departamento amoblado con mobiliario de primera calidad",4400,350000,Vitacura,Departamento amoblado con mobiliario de primera calidad,110,3,2
"Las Condes, Amoblado!! hermoso depto vista despejada al parque",2500,100000,Las Condes,Amoblado!! hermoso depto vista despejada al parque,90,2,2
"Santiago, 2D2B Stgo categoría Hotel Garantía en cuotas (124752)",380000,115000,Santiago,2D2B Stgo categoría Hotel Garantía en cuotas (124752),48,2,2
"Providencia, apoquindo con luis thayer ojeda",1250,100000,Providencia,apoquindo con luis thayer ojeda,44,1,1
"La Florida, Departamento moderno full amoblado 1d+1b+1bodega",450000,80000,La Florida,Departamento moderno full amoblado 1d+1b+1bodega,36,1,1
"Santiago, Libertad Frente Plaza Yungay",250000,65000,Santiago,Libertad Frente Plaza Yungay,42,1,1
"Santiago, Carabinero de chile 33 santiago",1400,100000,Santiago,Carabinero de chile 33 santiago,80,3,2
"Vitacura, Av. Kennedy/ arturo ureta",1660,100000,Vitacura,Av. Kennedy/ arturo ureta,65,2,2
"Las Condes, Disponible enero 26 amplio departamento amoblado 4d+2b+2e+1b",3000,1000,Las Condes,Disponible enero 26 amplio departamento amoblado 4d+2b+2e+1b,140,4,2
"Providencia, Juana de arco 2069, providencia",1666,100000,Providencia,"Juana de arco 2069, providencia",79,2,2
"Las Condes, Moderno departamento full amoblado gastos comunes incluidos",2100,1000,Las Condes,Moderno departamento full amoblado gastos comunes incluidos,70,2,2
"Las Condes, Cerro el Plomo/ AV manquehue norte",2500,200000,Las Condes,Cerro el Plomo/ AV manquehue norte,100,3,2
"Las Condes, En arriendo hermoso departamento amoblado 3d+2b+1e",2800,100000,Las Condes,En arriendo hermoso departamento amoblado 3d+2b+1e,140,3,2
"Ñuñoa, Hannover/av. Ossa",1850,100000,Ñuñoa,Hannover/av. Ossa,52,2,1
"Providencia, San Luis 1355",345000,102000,Providencia,San Luis 1355,30,2,2
"Las Condes, Departamento amoblado todo incluido - disponible desde 20 noviembre",2000,1000,Las Condes,Departamento amoblado todo incluido - disponible desde 20 noviembre,120,3,2
"Ñuñoa, Departamento moderno amoblado con todo incluido gc+cuentas",1500,1000,Ñuñoa,Departamento moderno amoblado con todo incluido gc+cuentas,62,2,2
"Providencia, Luis thayer ojeda 43",2000,100000,Providencia,Luis thayer ojeda 43,100,2,2
"Las Condes, Moderno departamento full amoblado 2d+2b+1estar+1e+1b",2500,250000,Las Condes,Moderno departamento full amoblado 2d+2b+1estar+1e+1b,110,2,2
"Ñuñoa, Departamento full amoblado todo incluido gastos comunes y cuentas",1050,1000,Ñuñoa,Departamento full amoblado todo incluido gastos comunes y cuentas,38,2,1
"Vitacura, Hermoso departamento full amoblado gastos comunes incluidos",1600,1000,Vitacura,Hermoso departamento full amoblado gastos comunes incluidos,54,2,2
"Las Condes, Augusto leguia norte esquina presidente riesco",1800,1000,Las Condes,Augusto leguia norte esquina presidente riesco,78,2,2
"Providencia, metro Inés de Suáres",1200,100000,Providencia,metro Inés de Suáres,70,3,1
"Providencia, Av. Andrés bello 1051",1500,100000,Providencia,Av. Andrés bello 1051,130,3,2
"Lo Barnechea, Alberto le blanc",4000,100000,Lo Barnechea,Alberto le blanc,150,3,3
"Las Condes, Amoblado todos los gastos incluidos hermosa vista 1d+1b+1e",1500,1000,Las Condes,Amoblado todos los gastos incluidos hermosa vista 1d+1b+1e,54,1,1
"Santiago, Estudio amoblado",430000,70000,Santiago,Estudio amoblado,23,1,1
"Las Condes, Decoración de primera",2200,200000,Las Condes,Decoración de primera,95,2,2
"Providencia, Amplio departamento providencia todos los gastos incluidos",1800,1000,Providencia,Amplio departamento providencia todos los gastos incluidos,79,3,2
"Santiago, lira con diagonal paraguay",379000,70000,Santiago,lira con diagonal paraguay,48,2,1
"Las Condes, Amoblado!! hermoso depto vista despejada al parque",2000,150000,Las Condes,Amoblado!! hermoso depto vista despejada al parque,55,2,2
"Santiago, metro universidad de chile",1800,100000,Santiago,metro universidad de chile,160,3,2
"Las Condes, Luis rodriguez velasco 4717 las condes",1350,1000,Las Condes,Luis rodriguez velasco 4717 las condes,38,1,1
"La Florida, García Hurtado de Mendoza #7958",390000,85000,La Florida,García Hurtado de Mendoza #7958,64,2,1
"Santiago, ¡promoción! depto 2d 1b - parque los reyes",400000,60000,Santiago,¡promoción! depto 2d 1b - parque los reyes,63,2,1
"Pudahuel, Av. Tte. Cruz 19",500000,110000,Pudahuel,Av. Tte. Cruz 19,64,2,2
"La Florida, geronimo de alderete 208",590000,129000,La Florida,geronimo de alderete 208,60,2,2
"La Cisterna, Edificio Full Equipado (124520)",550000,80000,La Cisterna,Edificio Full Equipado (124520),55,2,2
"La Florida, Vicuña mackenna 7197 & depto nuevo",430000,90000,La Florida,Vicuña mackenna 7197 & depto nuevo,39,1,1
"Ñuñoa, Pedro de Valdivia",650000,85000,Ñuñoa,Pedro de Valdivia,40,1,1
"La Florida, Vicuña mackenna 7197 & depto nuevo",430000,90000,La Florida,Vicuña mackenna 7197 & depto nuevo,39,1,1
"Ñuñoa, Pedro de Valdivia",650000,85000,Ñuñoa,Pedro de Valdivia,40,1,1
"La Florida, Arriendo Depto. 2D+2B+E+B en La Florida (124580)",480000,115000,La Florida,Arriendo Depto. 2D+2B+E+B en La Florida (124580),67,2,2
"La Florida, Departamento de 2D+2B mariposa en la Florida (124571)",450000,110000,La Florida,Departamento de 2D+2B mariposa en la Florida (124571),50,2,2
"Santiago, Hermoso depto. en tercer piso (124529)",320000,730000,Santiago,Hermoso depto. en tercer piso (124529),27,1,1
"Santiago, José Miguel Carrera 300",410000,75000,Santiago,José Miguel Carrera 300,38,1,1
"San Bernardo, San bernardo",390000,110000,San Bernardo,San bernardo,40,1,1
"Santiago, Vicuña mackenna",320000,90000,Santiago,Vicuña mackenna,30,1,1
"Ñuñoa, Hamburgo",515000,80000,Ñuñoa,Hamburgo,35,1,1
"Santiago, Nataniel cox",485000,107000,Santiago,Nataniel cox,70,2,2
"Independencia, Arriendo depto 3 d metro cal y canto av independencia",380000,55000,Independencia,Arriendo depto 3 d metro cal y canto av independencia,50,3,1
"Santiago, Parque ohiggins, metro toesca",510000,65000,Santiago,"Parque ohiggins, metro toesca",65,2,2
"Santiago, 1 Dor 1 Baño Arturo Prat / Santa Isabel       (124496)",300000,80000,Santiago,1 Dor 1 Baño Arturo Prat / Santa Isabel       (124496),39,1,1
"Las Condes, Manquehue / apoquindo",1300,350000,Las Condes,Manquehue / apoquindo,100,3,2
"Independencia, Av independencia",240000,65000,Independencia,Av independencia,22,1,1
"Independencia, Av independencia",240000,65000,Independencia,Av independencia,22,1,1
"Independencia, Metro hospitales",260000,65000,Independencia,Metro hospitales,32,1,1
"Estación Central, Av. Alameda",305000,60000,Estación Central,Av. Alameda,30,1,1
"Independencia, Plaza chacabuco",270000,80000,Independencia,Plaza chacabuco,35,1,1
"Santiago, Parque ohiggins",395000,50000,Santiago,Parque ohiggins,36,2,1
"La Florida, Av. La Florida 10397",420000,90000,La Florida,Av. La Florida 10397,48,2,1
"Independencia, Sin garantía depto. 2 dormitorios independencia venecia",300000,75000,Independencia,Sin garantía depto. 2 dormitorios independencia venecia,45,2,1
"San Miguel, Metro el llano",385000,72000,San Miguel,Metro el llano,45,2,1
"Providencia, Silvina Hurtado 1539",850000,215000,Providencia,Silvina Hurtado 1539,100,3,2
"Las Condes, Rosario Sur con Rep Árabe de Egipto, las condes",2000,450000,Las Condes,"Rosario Sur con Rep Árabe de Egipto, las condes",130,2,2
"Vitacura, Enero 26 departamento amoblado todo incluido comuna vitacura",2700,1000,Vitacura,Enero 26 departamento amoblado todo incluido comuna vitacura,114,3,2
"Las Condes, Av las condes 7548",1800,100000,Las Condes,Av las condes 7548,35,1,1
"Santiago, Sta. Elena/ Victoria",1400,100000,Santiago,Sta. Elena/ Victoria,51,2,1
"Macul, Santa Cristina 3055",550000,120000,Macul,Santa Cristina 3055,60,2,2
"Las Condes, Luz / Pdte Riesgo",1700,100000,Las Condes,Luz / Pdte Riesgo,132,3,3
"Lo Barnechea, Monseñor escrivá de balaguer 14848",3200,100000,Lo Barnechea,Monseñor escrivá de balaguer 14848,100,3,2
"Recoleta, Metro cerro blanco",590000,150000,Recoleta,Metro cerro blanco,67,3,2
"San Miguel, Arcadia con San Ignacio",430000,130000,San Miguel,Arcadia con San Ignacio,67,2,1
"Santiago, Metro santa isabel",280000,65000,Santiago,Metro santa isabel,33,1,1
"Las Condes, Amoblado amplio departamento en arriendo 3d+1d servicio-4b+e",2500,200000,Las Condes,Amoblado amplio departamento en arriendo 3d+1d servicio-4b+e,123,3,4
"Ñuñoa, Av vicuña mackenna / metro irarrazaval /2d 2b box y bod",700000,130000,Ñuñoa,Av vicuña mackenna / metro irarrazaval /2d 2b box y bod,62,2,2
"La Florida, Gerónimo de alderete 790",440000,90000,La Florida,Gerónimo de alderete 790,66,2,2
"Santiago, San Francisco / Parque Almagro",570000,140000,Santiago,San Francisco / Parque Almagro,72,3,2
"La Florida, Lago pirihueico 6502",390000,65000,La Florida,Lago pirihueico 6502,38,1,1
"San Miguel, Tu nuevo hogar te espera en Guardiamarina (116633)",420000,89000,San Miguel,Tu nuevo hogar te espera en Guardiamarina (116633),43,2,1
"La Cisterna, Lo Espejo con Autopista Central",300000,65000,La Cisterna,Lo Espejo con Autopista Central,45,2,1
"Santiago, Esquina General Mackenna",300000,60000,Santiago,Esquina General Mackenna,31,1,1
"Santiago, Avenida Matta con Carmen",270000,70000,Santiago,Avenida Matta con Carmen,38,1,1
"Estación Central, Arrienda sin garantía - depto. Home studio - stgo",180000,45000,Estación Central,Arrienda sin garantía - depto. Home studio - stgo,28,1,1
"Santiago, Lindo depto. 1dormitorio en calle monjitas santiago",290000,70000,Santiago,Lindo depto. 1dormitorio en calle monjitas santiago,38,1,1
"Santiago, Morande/sto domingo /rosas",300000,65000,Santiago,Morande/sto domingo /rosas,35,1,1
"Santiago, Depto 1dormitorio 1 baño santiago",290000,80000,Santiago,Depto 1dormitorio 1 baño santiago,29,1,1
"Santiago, Parque forestal, bellas artes, merced",380000,90000,Santiago,"Parque forestal, bellas artes, merced",34,1,1
"Santiago, MA - Depto 1D 1B terraza Toesca esquina Abate Molina, Metro ULA",290000,65000,Santiago,"MA - Depto 1D 1B terraza Toesca esquina Abate Molina, Metro ULA",30,1,1
"Ñuñoa, Avenida Holanda 3402",850000,190000,Ñuñoa,Avenida Holanda 3402,106,3,2
"La Cisterna, Amoblado dpto de 1 y 2 dormitorios en Lo Oval (123870)",495000,70000,La Cisterna,Amoblado dpto de 1 y 2 dormitorios en Lo Oval (123870),38,2,1
"Santiago, Rosas 1339",380000,100000,Santiago,Rosas 1339,60,2,1
"Las Condes, Apoquindo / La Gloria, Impecable! (124037)",1200,210000,Las Condes,"Apoquindo / La Gloria, Impecable! (124037)",98,3,2
"Macul, Dispoble arriendo en macul 1d (124429)",365000,65000,Macul,Dispoble arriendo en macul 1d (124429),35,1,1
