Nombre,Precio,Gastos_Comunes,Ubicacion,Metros,Habitaciones,Baños
"Ñuñoa, Inmejorable ubicación, con estac, 1dorm+1bd (125883)",$ 480.000,$ 88.500,"Ñuñoa, Inmejorable ubicación, con estac, 1dorm+1bd (125883)",38 m²,1,1
"Santiago, Excelente vista 1d+1b.Metro parque almagro (125882)",$ 305.000,$ 45.000,"Santiago, Excelente vista 1d+1b.Metro parque almagro (125882)",38 m²,1,1
"Estación Central, 3d+1 baño, parque, metro, ambiente familiar (125881)",$ 410.000,$ 64.000,"Estación Central, 3d+1 baño, parque, metro, ambiente familiar (125881)",45 m²,3,1
"San Miguel, Depto 2d 2b estc y bga metro c niño, sodimac (126515)",$ 450.000,$ 100.000,"San Miguel, Depto 2d 2b estc y bga metro c niño, sodimac (126515)",56 m²,2,2
"Independencia, Calle El Molino 1755",$ 280.000,$ 70.000,"Independencia, Calle El Molino 1755",38 m²,1,1
"Santiago, Santa Elvira",$ 270.000,$ 30.000,"Santiago, Santa Elvira",25 m²,1,1
"Peñalolén, Consistorial",$ 680.000,$ 140.000,"Peñalolén, Consistorial",76 m²,2,2
"Estación Central, 3d+1 baño, parque, metro, ambiente familiar (125881)",$ 410.000,$ 64.000,"Estación Central, 3d+1 baño, parque, metro, ambiente familiar (125881)",45 m²,3,1
"San Miguel, Depto 2d 2b estc y bga metro c niño, sodimac (126515)",$ 450.000,$ 100.000,"San Miguel, Depto 2d 2b estc y bga metro c niño, sodimac (126515)",56 m²,2,2
"Independencia, Calle El Molino 1755",$ 280.000,$ 70.000,"Independencia, Calle El Molino 1755",38 m²,1,1
"Santiago, Santa Elvira",$ 270.000,$ 30.000,"Santiago, Santa Elvira",25 m²,1,1
"Peñalolén, Consistorial",$ 680.000,$ 140.000,"Peñalolén, Consistorial",76 m²,2,2
"La Florida, Camino del Monte",$ 900.000,$ 140.000,"La Florida, Camino del Monte",114 m²,3,2
"San Miguel, San Nicolas, san miguel metro lo vial",$ 250.000,$ 70.000,"San Miguel, San Nicolas, san miguel metro lo vial",22 m²,1,1
"Macul, Los PLátanos 3001",$ 400.000,$ 80.000,"Macul, Los PLátanos 3001",35 m²,1,1
"Santiago, Toesca / Jose Miguel Carrera",$ 300.000,$ 80.000,"Santiago, Toesca / Jose Miguel Carrera",35 m²,1,1
"Estación Central, Arriendo depto de 2d en estación central (126526)",$ 290.000,$ 60.000,"Estación Central, Arriendo depto de 2d en estación central (126526)",45 m²,2,1
"Santiago, Arriendo depto japonés 1d en metro baquedano (126525)",$ 340.000,$ 60.000,"Santiago, Arriendo depto japonés 1d en metro baquedano (126525)",33 m²,1,1
"La Cisterna, Arriendo depto 206 de 1d en la cisterna (126523)",$ 270.000,$ 60.000,"La Cisterna, Arriendo depto 206 de 1d en la cisterna (126523)",33 m²,1,1
"Estación Central, Arriendo depto 1401 de 2d en metro ecuador (126522)",$ 340.000,$ 60.000,"Estación Central, Arriendo depto 1401 de 2d en metro ecuador (126522)",55 m²,2,1
"Santiago, Arriendo depto de 1d en metro bellas artes (126521)",$ 380.000,$ 80.000,"Santiago, Arriendo depto de 1d en metro bellas artes (126521)",55 m²,1,1
"Santiago, Arriendo depto de 1d en metro santa isabel (126519)",$ 240.000,$ 80.000,"Santiago, Arriendo depto de 1d en metro santa isabel (126519)",33 m²,1,1
"Santiago, Arriendo depto estudio en metro baquedano (126518)",$ 260.000,$ 50.000,"Santiago, Arriendo depto estudio en metro baquedano (126518)",28 m²,1,1
"La Florida, Arriendo depto. desocupado 2D2B, La Florida (121318)",$ 500.000,$ 80.000,"La Florida, Arriendo depto. desocupado 2D2B, La Florida (121318)",50 m²,2,2
"Lo Barnechea, Amoblado // Conectividad // Oportunidad (125896)",$ 1.550.000,$ 260.000,"Lo Barnechea, Amoblado // Conectividad // Oportunidad (125896)",87 m²,3,2
"Providencia, Depto. Metro los leones 2d 1b",$ 670.000,$ 100.000,"Providencia, Depto. Metro los leones 2d 1b",48 m²,2,1
"Quilicura, Pedro Riveros",$ 450.000,$ 55.000,"Quilicura, Pedro Riveros",61 m²,3,2
"San Miguel, 68 m2: 3d2b con terraza de 7 m2  (126134)",$ 560.000,$ 180.000,"San Miguel, 68 m2: 3d2b con terraza de 7 m2  (126134)",68 m²,3,2
"La Cisterna, Gran Avenida",$ 320.000,$ 70.000,"La Cisterna, Gran Avenida",36 m²,1,1
"La Florida, Bellavista",$ 320.000,$ 75.000,"La Florida, Bellavista",26 m²,1,1
"Ñuñoa, Hermoso departamento en arriendo ñuñoa (126330)",$ 570.000,$ 120.000,"Ñuñoa, Hermoso departamento en arriendo ñuñoa (126330)",65 m²,2,1
"Providencia, Moderno Duplex 1D-1B Metro Manuel Montt (126311)",$ 650.000,$ 110.000,"Providencia, Moderno Duplex 1D-1B Metro Manuel Montt (126311)",45 m²,1,1
"La Florida, Excelente!! A pasos metro Bellavista (126284)",$ 450.000,$ 100.000,"La Florida, Excelente!! A pasos metro Bellavista (126284)","44,55 m²",2,1
"La Florida, Pudeto - metro mirador y bellavista  (126289)",$ 320.000,$ 80.000,"La Florida, Pudeto - metro mirador y bellavista  (126289)",30 m²,1,1
"Santiago, Dpto Home estudio, Metro Irarrazabal. (70874)",$ 250.000,$ 50.000,"Santiago, Dpto Home estudio, Metro Irarrazabal. (70874)",22 m²,1,1
"Macul, Depto. Estilo Mariposa 2 Dormitorio 2 Baños  (125961)",$ 520.000,$ 97.000,"Macul, Depto. Estilo Mariposa 2 Dormitorio 2 Baños  (125961)",56 m²,2,2
"La Florida, Departamento metro bellavista la florida  (125994)",$ 520.000,$ 110.000,"La Florida, Departamento metro bellavista la florida  (125994)",52 m²,2,2
"Independencia, Departamento en Arriendo de 3 dormitorios (125966)",$ 430.000,$ 90.000,"Independencia, Departamento en Arriendo de 3 dormitorios (125966)",56 m²,3,2
"Santiago, Gran oportunidad depto 1 dorm en Huérfanos cerca del metro La Moneda",$ 300.000,$ 70.000,"Santiago, Gran oportunidad depto 1 dorm en Huérfanos cerca del metro La Moneda",31 m²,1,1
"Santiago, Metro universidad de chile, studio",$ 330.000,$ 115.000,"Santiago, Metro universidad de chile, studio",30 m²,1,1
"Las Condes, Hermoso Depto 2 dormitorios , metro Tobalaba  (126451)",$ 850.000,$ 170.000,"Las Condes, Hermoso Depto 2 dormitorios , metro Tobalaba  (126451)",76 m²,2,2
"Santiago, Arriendo depto home estudio a 2 cuadras de la estacion del metro parque almagro",$ 300.000,$ 70.000,"Santiago, Arriendo depto home estudio a 2 cuadras de la estacion del metro parque almagro",35 m²,1,1
"Quinta Normal, Cerca de Metro, colegios y centro Comercial (123845)",$ 370.000,$ 60.000,"Quinta Normal, Cerca de Metro, colegios y centro Comercial (123845)",46 m²,3,1
"Santiago, Metro ula (126493)",$ 380.000,$ 80.000,"Santiago, Metro ula (126493)",35 m²,1,1
"Providencia, Depto semi nuevo a estrenar, sin uso habitacional, a pasos del metro Cristobal Colon y plaza Las Lilas",$ 1.500.000,$ 250.000,"Providencia, Depto semi nuevo a estrenar, sin uso habitacional, a pasos del metro Cristobal Colon y plaza Las Lilas",114 m²,3,2
"San Miguel, Arriendo dpto 2h2b estacionamient San Nicolas (125875)",$ 440.000,$ 80.000,"San Miguel, Arriendo dpto 2h2b estacionamient San Nicolas (125875)",60 m²,2,2
"Macul, Los Clarines 3051",$ 586.000,$ 170.000,"Macul, Los Clarines 3051","74,5 m²",2,2
"Vitacura, Americo Vespucio/Las Fresas","UF 90,00",$ 300.000,"Vitacura, Americo Vespucio/Las Fresas",165 m²,2,3
"Santiago, Departamento Con Habitaciones Amplias (16886)",$ 450.000,$ 76.000,"Santiago, Departamento Con Habitaciones Amplias (16886)",50 m²,2,1
"Lo Barnechea, Estupendo departamento,  La Dehesa (126455)","UF 50,00",$ 380.000,"Lo Barnechea, Estupendo departamento,  La Dehesa (126455)",140 m²,3,3
"Macul, Vespucio con las torres",$ 470.000,$ 75.000,"Macul, Vespucio con las torres",65 m²,2,2
"San Miguel, avenida santa rosa",$ 350.000,$ 75.000,"San Miguel, avenida santa rosa",48 m²,2,1
"Lo Prado, Condominio San Ignacio, Primera Etapa",$ 330.000,$ 40,"Lo Prado, Condominio San Ignacio, Primera Etapa",60 m²,2,1
"Ñuñoa, Venta depto 2d 1b ñuñoa /metro chile españa",$ 680.000,$ 100,"Ñuñoa, Venta depto 2d 1b ñuñoa /metro chile españa",48 m²,2,1
"La Florida, 50% Dscto 1mes 1D1BOpcion E B. Metro Vic Mac y Macul La Florida",$ 290.000,$ 60.000,"La Florida, 50% Dscto 1mes 1D1BOpcion E B. Metro Vic Mac y Macul La Florida",37 m²,1,1
"Santiago, 1mes gratis, sin aval, estudio opcion e,alamos c rondizzoni",$ 300.000,$ 40.000,"Santiago, 1mes gratis, sin aval, estudio opcion e,alamos c rondizzoni","24,7 m²",1,1
"Macul, 50% Dscto1Mes,C/Muebles 2D 2B E Poeta Vicente Huidobro Macul",$ 520.000,$ 90.000,"Macul, 50% Dscto1Mes,C/Muebles 2D 2B E Poeta Vicente Huidobro Macul","52,5 m²",2,2
"Ñuñoa, Avenida José Pedro Alessandri 900","UF 16,50",$ 120.000,"Ñuñoa, Avenida José Pedro Alessandri 900","56,55 m²",2,1
"Independencia, Huanuco 2290 Independencia",$ 350.000,$ 60.000,"Independencia, Huanuco 2290 Independencia",36 m²,1,1
"Santiago, Carmen 237",$ 450.000,$ 100.000,"Santiago, Carmen 237",45 m²,2,1
"Quilicura, Pedro Riveros 1501, Quilicura, Valle Lo Campino, Quilicura, RM (Metropolitana)",$ 580.000,$ 85.000,"Quilicura, Pedro Riveros 1501, Quilicura, Valle Lo Campino, Quilicura, RM (Metropolitana)",62 m²,3,2
"Quilicura, Pedro Riveros 1501, Quilicura, Valle Lo Campino, Quilicura, RM (Metropolitana)",$ 580.000,$ 85.000,"Quilicura, Pedro Riveros 1501, Quilicura, Valle Lo Campino, Quilicura, RM (Metropolitana)",62 m²,3,2
"La Cisterna, metro el parron",$ 360.000,$ 65.000,"La Cisterna, metro el parron",55 m²,2,1
"Santiago, Impecable y amplio departamento  (125979)",$ 290.000,$ 70.000,"Santiago, Impecable y amplio departamento  (125979)",33 m²,1,1
"Ñuñoa, Moderno Dp1D/Estac.metro Chile España  (126485)",$ 480.000,$ 120.000,"Ñuñoa, Moderno Dp1D/Estac.metro Chile España  (126485)",38 m²,1,1
"Santiago, Lindo home studio-metro moneda y parque almag (126277)",$ 280.000,$ 50.000,"Santiago, Lindo home studio-metro moneda y parque almag (126277)",28 m²,1,1
"Ñuñoa, Dp.1d.Estac.Bod.Virginio arias -ñuñoa (126066)",$ 480.000,$ 80.000,"Ñuñoa, Dp.1d.Estac.Bod.Virginio arias -ñuñoa (126066)",37 m²,1,1
"Santiago, los Barbechos 100","UF 17,00",$ 140.000,"Santiago, los Barbechos 100",42 m²,1,1
"Santiago, zenteno 1482",$ 350.000,$ 77.000,"Santiago, zenteno 1482",42 m²,2,1
"Estación Central, Arriendo Dpto Estación Central Conde de Maule (126405)",$ 380.000,$ 85.000,"Estación Central, Arriendo Dpto Estación Central Conde de Maule (126405)",51 m²,2,2
"Santiago, Vive en Prvidencia: Padre Restrepo! (126364)","UF 20,00",$ 250.000,"Santiago, Vive en Prvidencia: Padre Restrepo! (126364)",69 m²,2,2
"Ñuñoa, Bremen con irarrazaval",$ 980.000,$ 180.000,"Ñuñoa, Bremen con irarrazaval",108 m²,4,3
"Santiago, Avenida Santa Isabel 920",$ 580.000,$ 106.000,"Santiago, Avenida Santa Isabel 920",46 m²,2,2
"Santiago, Marín","UF 12,50",$ 100.000,"Santiago, Marín",57 m²,2,2
"Santiago, Departamento en Santiago Centro (2D+1B) (126406)",$ 370.000,$ 100.000,"Santiago, Departamento en Santiago Centro (2D+1B) (126406)",60 m²,2,1
"Macul, Nuevo! (126410)",$ 500.000,$ 95.000,"Macul, Nuevo! (126410)","40,3 m²",1,1
"La Florida, García Hurtado de Mendoza",$ 610.000,$ 93.000,"La Florida, García Hurtado de Mendoza",87 m²,3,2
"San Miguel, El llano, san miguel (126159)",$ 600.000,$ 130.000,"San Miguel, El llano, san miguel (126159)",62 m²,2,2
"Macul, Departamento amplio (126157)",$ 600.000,$ 125.000,"Macul, Departamento amplio (126157)",67 m²,3,2
"Estación Central, Moderno y vista despejada (126155)",$ 420.000,$ 70.000,"Estación Central, Moderno y vista despejada (126155)",46 m²,2,1
"San Miguel, Arriendo 1d + 1b (126148)",$ 350.000,$ 50.000,"San Miguel, Arriendo 1d + 1b (126148)",50 m²,1,1
"Santiago, Excelente ubicación (126147)",$ 360.000,$ 70.000,"Santiago, Excelente ubicación (126147)",44 m²,2,1
"Macul, Disponibilidad inmediata! (126146)",$ 530.000,$ 60.000,"Macul, Disponibilidad inmediata! (126146)",60 m²,2,2
"Ñuñoa, Vista despejada oriente! (126145)",$ 1.250.000,$ 200.000,"Ñuñoa, Vista despejada oriente! (126145)",95 m²,3,2
"Santiago, Luminoso Dpto 2D+1B,  Aire Acondicionado (126509)",$ 480.000,$ 90.000,"Santiago, Luminoso Dpto 2D+1B,  Aire Acondicionado (126509)",44 m²,2,1
"Recoleta, Bello Dpto 1D+1B+Bodega  (126507)",$ 295.000,$ 60.000,"Recoleta, Bello Dpto 1D+1B+Bodega  (126507)",34 m²,1,1
"Cerrillos, Dpto 2D/1B+1E y Piscina en Cerrillos (126069)",$ 390.000,$ 60.000,"Cerrillos, Dpto 2D/1B+1E y Piscina en Cerrillos (126069)",60 m²,2,1
"Estación Central, Depto NUEVO comisión y garantía en cuotas (121929)",$ 410.000,$ 117.000,"Estación Central, Depto NUEVO comisión y garantía en cuotas (121929)",47 m²,2,2
"Providencia, California",$ 1.050.000,$ 230.000,"Providencia, California",80 m²,2,2
"Estación Central, Conde del Maule",$ 410.000,$ 100.000,"Estación Central, Conde del Maule",55 m²,2,2
"San Miguel, Promo Departamento con 33 m2 y terraza (116630)",$ 350.000,$ 75.000,"San Miguel, Promo Departamento con 33 m2 y terraza (116630)",32 m²,1,1
"Santiago, Arriendo hermoso depto. En santiago (126498)",$ 580.000,$ 130.000,"Santiago, Arriendo hermoso depto. En santiago (126498)",50 m²,2,2
"Santiago, Depto. En arriendo 76 mtrs2 2d-2b (126280)",$ 600.000,$ 145.000,"Santiago, Depto. En arriendo 76 mtrs2 2d-2b (126280)",72 m²,2,2
"La Reina, Vista asegurada a la cordillera y grange (110453)",$ 1.500.000,$ 190.000,"La Reina, Vista asegurada a la cordillera y grange (110453)",130 m²,3,3
"San Miguel, Vive cómodo con vista Sur Oriente (109674)",$ 350.000,$ 75.000,"San Miguel, Vive cómodo con vista Sur Oriente (109674)",46 m²,1,1
"Santiago, MA - Portugal 442 esquina Santa Isabel 2D 2B Estacionamiento y Bodega 56/60m2",$ 470.000,$ 179.000,"Santiago, MA - Portugal 442 esquina Santa Isabel 2D 2B Estacionamiento y Bodega 56/60m2",60 m²,2,2
"Peñalolén, Lindo depto. En los presidentes (124551)",$ 780.000,$ 120.000,"Peñalolén, Lindo depto. En los presidentes (124551)",70 m²,2,2
"San Miguel, Departamento con terraza Metro Lo Vial  (66268)",$ 355.000,$ 65.000,"San Miguel, Departamento con terraza Metro Lo Vial  (66268)",38 m²,1,1
"Ñuñoa, Francisco Meneses",$ 420.000,$ 60.000,"Ñuñoa, Francisco Meneses",40 m²,1,1
"Santiago, Manuel Antonio Tocornal",$ 320.000,$ 54.000,"Santiago, Manuel Antonio Tocornal",34 m²,1,1
"San Miguel, Ideal parejas o sol@s, San Miguel (102819)",$ 350.000,$ 75.000,"San Miguel, Ideal parejas o sol@s, San Miguel (102819)",38 m²,1,1
"Cerrillos, Martín de Solier",$ 320.000,$ 60.000,"Cerrillos, Martín de Solier",34 m²,1,1
"Macul, 50% dscto 1mes de canon c/muebles 2d1b, p. Vicente huidobro macul",$ 440.000,$ 80.000,"Macul, 50% dscto 1mes de canon c/muebles 2d1b, p. Vicente huidobro macul","45,71 m²",2,1
"Ñuñoa, Zañartu 2075",$ 450.000,$ 65.000,"Ñuñoa, Zañartu 2075",37 m²,1,1
"Ñuñoa, Los Tres Antonios",$ 514.500,$ 94.999,"Ñuñoa, Los Tres Antonios",45 m²,1,1
"Ñuñoa, Exequiel Fernández 1455",$ 650.000,$ 129.999,"Ñuñoa, Exequiel Fernández 1455",75 m²,2,2
"Santiago, Santo Domingo",$ 280.000,$ 60.000,"Santiago, Santo Domingo",30 m²,1,1
"Cerrillos, Martín de Solier 4540",$ 310.000,$ 44.999,"Cerrillos, Martín de Solier 4540",33 m²,1,1
"Santiago, Av. Almte. Blanco Encalada 1797",$ 300.000,$ 50.000,"Santiago, Av. Almte. Blanco Encalada 1797",38 m²,1,1
"Ñuñoa, Avenida Vicuña Mackenna",$ 420.000,$ 65.000,"Ñuñoa, Avenida Vicuña Mackenna",35 m²,1,1
"Las Condes, Entre Metro Alcantara y Metro Escuela Militar, Barrio El Golf","UF 18,00",$ 120.000,"Las Condes, Entre Metro Alcantara y Metro Escuela Militar, Barrio El Golf",40 m²,1,1
"Estación Central, Av. María Rozas Velásquez 55",$ 370.000,$ 85,"Estación Central, Av. María Rozas Velásquez 55",42 m²,2,1
"Macul, Avenida Macul 3735",$ 420.000,$ 70.000,"Macul, Avenida Macul 3735",40 m²,1,1
"Santiago, Departamento garantía y comisión en cuotas (119490)",$ 440.000,$ 115.000,"Santiago, Departamento garantía y comisión en cuotas (119490)",44 m²,2,2
"Maipú, Av. Los Pajaritos 464",$ 304.990,$ 87.001,"Maipú, Av. Los Pajaritos 464",65 m²,3,2
"San Miguel, Décima Avenida",$ 360.000,$ 70.000,"San Miguel, Décima Avenida",42 m²,2,1
"Santiago, Santo Domingo",$ 450.000,$ 150.000,"Santiago, Santo Domingo",61 m²,2,1
"Santiago, Padre Orellana",$ 450.000,$ 70.000,"Santiago, Padre Orellana",42 m²,2,1
"Santiago, Avenida Manuel Rodríguez",$ 420.000,$ 115.000,"Santiago, Avenida Manuel Rodríguez",45 m²,2,2
"Santiago, Bandera","UF 12,63",$ 120.000,"Santiago, Bandera",60 m²,2,2
"La Cisterna, Avenida María",$ 350.000,$ 50.000,"La Cisterna, Avenida María",34 m²,1,1
"Santiago, Carmen esquina avenida matta",$ 280.000,$ 65.000,"Santiago, Carmen esquina avenida matta",28 m²,1,1
"Santiago, Metro , Santa Isabel",$ 450.000,$ 160.000,"Santiago, Metro , Santa Isabel",56 m²,2,2
"Las Condes, La Gioconda // Américo Vespucio Norte",$ 2.100.000,$ 370.000,"Las Condes, La Gioconda // Américo Vespucio Norte",260 m²,4,3
"Santiago, vergara 548",$ 330.000,$ 105.000,"Santiago, vergara 548",40 m²,1,1
"Las Condes, Depto de 1D, 1B estacionamiento y bodega, con gran patio privado para tu mascota.",$ 850.000,$ 190.000,"Las Condes, Depto de 1D, 1B estacionamiento y bodega, con gran patio privado para tu mascota.",70 m²,1,1
"Ñuñoa, Barrio italia / metro irarrázaval",$ 650.000,$ 150.000,"Ñuñoa, Barrio italia / metro irarrázaval",62 m²,2,2
"Vitacura, A pasos de clinica tabancura","UF 30,00",$ 245.000,"Vitacura, A pasos de clinica tabancura",94 m²,2,2
"Independencia, Carrion 1346",$ 425.000,$ 90.000,"Independencia, Carrion 1346",59 m²,2,1
"Quinta Normal, Mapocho con General Velasquez",$ 340.000,$ 60.000,"Quinta Normal, Mapocho con General Velasquez",50 m²,2,1
"Ñuñoa, Los Alerces/Castillo Urízar",$ 540.000,$ 140.000,"Ñuñoa, Los Alerces/Castillo Urízar",58 m²,2,2
"Las Condes, Kennedy/Brasilia",$ 1.450.000,$ 260.000,"Las Condes, Kennedy/Brasilia",110 m²,3,3
"Las Condes, Mar de Sur/ Cristobal Colon",$ 1.350.000,$ 200.000,"Las Condes, Mar de Sur/ Cristobal Colon",140 m²,3,3
"Las Condes, Las Malvas/La Capitania","UF 31,00",$ 250.000,"Las Condes, Las Malvas/La Capitania",85 m²,3,3
"Cerrillos, Departamento en arriendo cerrillos",$ 550.000,$ 60.000,"Cerrillos, Departamento en arriendo cerrillos",72 m²,3,2
"Las Condes, Cerro El Plomo 5555",$ 1.485.000,$ 262.000,"Las Condes, Cerro El Plomo 5555",100 m²,3,2
"Santiago, Av. Sta. Rosa 950",$ 460.000,$ 75.000,"Santiago, Av. Sta. Rosa 950",73 m²,3,1
"Santiago, Av. Manuel Rodríguez Sur 772",$ 320.000,$ 100.000,"Santiago, Av. Manuel Rodríguez Sur 772",0 m²,2,2
"Estación Central, Toro Mazotte",$ 285.000,$ 60.000,"Estación Central, Toro Mazotte",42 m²,2,1
"Santiago, San diego",$ 390.000,$ 80.000,"Santiago, San diego",38 m²,2,1
"Estación Central, Avenida Ecuador",$ 330.000,$ 65.000,"Estación Central, Avenida Ecuador",39 m²,1,1
"Providencia, Avenida El Cerro",$ 950.000,$ 130.000,"Providencia, Avenida El Cerro",83 m²,2,2
"Santiago, Rosas",$ 420.000,$ 70.000,"Santiago, Rosas",37 m²,1,1
"La Florida, Froilán Roa",$ 360.000,$ 50.000,"La Florida, Froilán Roa",35 m²,1,1
"Santiago, Tucapel Jiménez","UF 9,00",$ 80.000,"Santiago, Tucapel Jiménez",36 m²,1,1
"Macul, Exequiel Fernández",$ 430.000,$ 80.000,"Macul, Exequiel Fernández",38 m²,1,1
"Santiago, Sargento Aldea",$ 390.000,$ 70.000,"Santiago, Sargento Aldea",47 m²,2,1
"Santiago, Eleuterio Ramírez",$ 400.000,$ 80.000,"Santiago, Eleuterio Ramírez",46 m²,2,1
"Santiago, Avenida España",$ 300.000,$ 100.000,"Santiago, Avenida España",33 m²,1,1
"Santiago, San isidro",$ 280.000,$ 65.000,"Santiago, San isidro",30 m²,1,1
"Macul, Avenida Américo Vespucio",$ 800.000,$ 100.000,"Macul, Avenida Américo Vespucio",80 m²,3,2
"Las Condes, Los ilanes","UF 18,73",$ 150.000,"Las Condes, Los ilanes",49 m²,1,1
"La Florida, Millalongo",$ 450.000,$ 60.000,"La Florida, Millalongo",47 m²,1,1
"San Miguel, Avenida Centenario",$ 450.000,$ 96.500,"San Miguel, Avenida Centenario",68 m²,3,2
"Independencia, Carrión",$ 250.000,$ 55,"Independencia, Carrión",30 m²,1,1
"Macul, El líbano",$ 500.000,$ 35.000,"Macul, El líbano",58 m²,3,1
"Independencia, Hipódromo Chile",$ 300.000,$ 53.000,"Independencia, Hipódromo Chile",35 m²,1,1
"Santiago, Padre Miguel de Olivares",$ 670.000,$ 120.000,"Santiago, Padre Miguel de Olivares",65 m²,2,2
"Estación Central, Coronel Godoy",$ 280.000,$ 70.000,"Estación Central, Coronel Godoy",35 m²,1,1
"Santiago, Portugal",$ 380.000,$ 65.000,"Santiago, Portugal",42 m²,1,1
"Estación Central, Conde del Maule",$ 270.000,$ 40.000,"Estación Central, Conde del Maule",31 m²,1,1
"Quinta Normal, Avenida Mapocho",$ 380.000,$ 70.000,"Quinta Normal, Avenida Mapocho",45 m²,3,1
"Santiago, Avenida Vicuña Mackenna",$ 400.000,$ 80.000,"Santiago, Avenida Vicuña Mackenna",70 m²,1,1
"Santiago, Manuel Antonio Tocornal",$ 390.000,$ 120.000,"Santiago, Manuel Antonio Tocornal",36 m²,1,1
"La Florida, Avenida Vicuña Mackenna",$ 250.000,$ 100.000,"La Florida, Avenida Vicuña Mackenna",55 m²,2,2
"Quinta Normal, ¡arrienda tu nuevo hogar a solo 5 minutos del metro!",$ 320.000,$ 60.000,"Quinta Normal, ¡arrienda tu nuevo hogar a solo 5 minutos del metro!","39,7 m²",1,1
"Santiago, Padre orellana 1308 depto 107",$ 225.000,$ 95.000,"Santiago, Padre orellana 1308 depto 107",60 m²,2,2
"La Florida, Almahue 6424 depto 1703",$ 600.000,$ 100.000,"La Florida, Almahue 6424 depto 1703",55 m²,2,2
"Macul, Los espinos 3356 depto 507",$ 550.000,$ 100.000,"Macul, Los espinos 3356 depto 507",58 m²,2,1
"La Florida, Colombia 7300 la Florida",$ 540.000,$ 170.000,"La Florida, Colombia 7300 la Florida",80 m²,3,2
"Independencia, Belisario Prats - Francia",$ 320.000,$ 75.000,"Independencia, Belisario Prats - Francia",46 m²,2,1
"Macul, Macul pasado Santa Cristina",$ 625.000,$ 100.000,"Macul, Macul pasado Santa Cristina",59 m²,2,2
"San Miguel, El llano",$ 440.000,$ 100.000,"San Miguel, El llano",60 m²,2,2
"Santiago, Hermoso depto., como nuevo, para ti",$ 400.000,$ 36.000,"Santiago, Hermoso depto., como nuevo, para ti",49 m²,3,1
"La Florida, Geronimo de Alderete con Vicuña Mackenna",$ 330.000,$ 64.000,"La Florida, Geronimo de Alderete con Vicuña Mackenna",29 m²,1,1
"Ñuñoa, Pucará",$ 700.000,$ 130.000,"Ñuñoa, Pucará",50 m²,2,1
"Ñuñoa, Estadio Nacional",$ 650.000,$ 120.000,"Ñuñoa, Estadio Nacional",58 m²,2,2
"Santiago, Avenida Presidente Balmaceda",$ 500.000,$ 100.000,"Santiago, Avenida Presidente Balmaceda",58 m²,2,2
"La Florida, Departamento con estacionamiento cercano a metro.",$ 599.999,$ 200.000,"La Florida, Departamento con estacionamiento cercano a metro.",0 m²,3,2
"San Miguel, San Ignacio de Loyola",$ 350.000,$ 80.000,"San Miguel, San Ignacio de Loyola",35 m²,1,1
"Cerrillos, Avenida Buzeta",$ 500.000,$ 70.000,"Cerrillos, Avenida Buzeta",52 m²,2,2
"Independencia, Avenida Domingo Santa María",$ 360.000,$ 65.000,"Independencia, Avenida Domingo Santa María",45 m²,2,2
"Macul, Metro Quillin",$ 430.000,$ 5.000,"Macul, Metro Quillin",62 m²,3,1
"Estación Central, Avenida Alameda Libertador Bernardo O'Higgins",$ 385.000,$ 60.000,"Estación Central, Avenida Alameda Libertador Bernardo O'Higgins",55 m²,2,2
"Santiago, Santo Doming con Amunategui",$ 280.000,$ 60.000,"Santiago, Santo Doming con Amunategui",30 m²,1,1
"Ñuñoa, Avenida Irarrázaval",$ 715.000,$ 125.000,"Ñuñoa, Avenida Irarrázaval",58 m²,2,1
"La Florida, Calle Pudeto",$ 340.000,$ 35.000,"La Florida, Calle Pudeto",35 m²,1,1
"Santiago, Chacabuco",$ 325.500,$ 100.000,"Santiago, Chacabuco",50 m²,2,2
"Independencia, Hipódromo Chile",$ 240.000,$ 60.000,"Independencia, Hipódromo Chile",24 m²,1,1
"Santiago, Avenida Manuel Antonio Matta",$ 310.000,$ 65.000,"Santiago, Avenida Manuel Antonio Matta",38 m²,2,1
"Estación Central, Coronel Godoy 0128",$ 270.000,$ 31.999,"Estación Central, Coronel Godoy 0128",31 m²,1,1
"Independencia, Avenida Inglaterra",$ 550.000,$ 90.000,"Independencia, Avenida Inglaterra",80 m²,3,2
"La Cisterna, José ureta",$ 330.000,$ 60.000,"La Cisterna, José ureta",36 m²,1,1
"Providencia, Marcel Duhaut",$ 580.000,$ 130.000,"Providencia, Marcel Duhaut",47 m²,1,1
"Santiago, Amunátegui",$ 450.000,$ 100.000,"Santiago, Amunátegui",65 m²,2,2
"Santiago, Avenida Almirante Blanco Encalada 2007",$ 280.000,$ 50.000,"Santiago, Avenida Almirante Blanco Encalada 2007",32 m²,1,1
"Ñuñoa, Edificio vicuña mackenna 1432, entre metro irarrazaval y ñuble",$ 372.000,$ 55.500,"Ñuñoa, Edificio vicuña mackenna 1432, entre metro irarrazaval y ñuble",32 m²,1,1
"La Florida, Avenida Diego Portales",$ 550.000,$ 60.000,"La Florida, Avenida Diego Portales",60 m²,3,2
"Santiago, Portugal / Santa Isabel / Metro Santa Isabel / Parque Bustamante","UF 7,10",$ 63.000,"Santiago, Portugal / Santa Isabel / Metro Santa Isabel / Parque Bustamante",35 m²,1,1
